Company:,

Contact:,

Board:,hard_carte_keycardpro_1.brd
BOMno:,
Variant:,''

Type:, Surface Mount Components


Layer: Top
Unit: mm

RefDes,LocationX,LocationY,Rotation,Value,Package,Contacts,Partno
J101,44.0000,72.2500, 90,USB4081-03-A,GCT_USB4081-03-A,4,
JP101,32.7900,67.3400,270,Amphenol_10129378-902001BLF,1X02,2,
JP203,42.7500,55.8000, 90,Amphenol_10129378-903001BLF,1X03,3,
JP401,36.5000,4.7500,  0,10129378-903001BLF,1X03,3,
JP403,36.5000,32.2500,180,10129378-903001BLF,1X03,3,
JP501,-30.0000,50.0000, 90,Amphenol_10129378-902001BLF,1X02,2,
JP503,-30.0000,60.0000, 90,Amphenol_10129378-903001BLF,1X03,3,
JP601,-30.0000,75.0000,270,10129378-903001BLF,1X03,3,
JP603,-30.0000,83.7500,270,10129378-903001BLF,1X03,3,
SV501,-30.0000,25.0000,270,,ML20,20,


Layer: Bottom
Unit: mm

RefDes,LocationX,LocationY,Rotation,Value,Package,Contacts,Partno
H101,-43.7500,3.7500,  0,MOUNT-PAD-ROUND2.8,2,8-PAD,1,
H102,43.7500,3.7500,  0,MOUNT-PAD-ROUND2.8,2,8-PAD,1,
H103,-43.7500,126.2500,  0,MOUNT-PAD-ROUND2.8,2,8-PAD,1,
H104,43.7500,126.2500,  0,MOUNT-PAD-ROUND2.8,2,8-PAD,1,

TH component position Data generated by XYTH.ulp Rev 1.4 at 12/06/2025 16:16

NOTICE: Information contained within this file is confidential. Any reproduction in part or whole is strictly prohibited without written permission or as required by non-disclosure agreement.

