Qty,Value,Device,Package,Parts,Description,ASSY,FABRICANT,REFERENCE,VALUE
1,,T821120A1S100CEU,ML20,SV501,Embase HE10 mâle droit 2x10 voies à souder sur CI,,Amphenol,T821120A1S100CEU,
4,0R,R-EU-R0R-1%-0402,R0402,"R502, R602, R603, R604","RESISTOR, European symbol",,,,0R
1,0R,R-EU-R0R-1%-0402,R0402,R607,"RESISTOR, European symbol",DNI,,,0R
4,100k,R-EU-R100K-1%-0402,R0402,"R204, R302, R408, R606","RESISTOR, European symbol",,,,100k
25,100nF-16V,C-EU-C100NF-X7R-16V-0402,C0402,"C102, C227, C309, C402, C404, C407, C409, C410, C414, C417, C418, C502, C509, C510, C511, C512, C513, C523, C602, C603, C604, C623, C627, C702, C703","CAPACITOR, European symbol",,,,100nF-16V
4,10129378-903001BLF,PINHD-1X3,1X03,"JP401, JP403, JP601, JP603",PIN HEADER,,Wurth Elektronik,61300311121,
1,10R-1%,R-EU-R10-1%-0402,R0402,R601,"RESISTOR, European symbol",,,,10R-1%
5,10k - 1%,R-EU-R10K-1%-0402,R0402,"R505, R506, R507, R508, R509","RESISTOR, European symbol",,,,10k - 1%
1,10µF/10V,C-EU-C10µF-X7R-10V-0805,C0805,C302,"CAPACITOR, European symbol",,,,10µF/10V
1,10µH,CDRH5D28NP-100NC,CDRH5D28,L401,Fixed Inductors 10uH 1.30A,,Sumida,CDRH5D28NP-100NC,10µH
1,11.5k - 1%,R-EU-R11.5K-1%-50V-0402,R0402,R702,"RESISTOR, European symbol",,,,11.5k - 1%
1,115K-1%,R-EU-R115K-1%-0402,R0402,R403,"RESISTOR, European symbol",,,,115K-1%
1,118K-1%,R-EU-R118K-1%-0402,R0402,R206,"RESISTOR, European symbol",,,,118K-1%
2,150080BS75000,150080BS75000,SMT_0603,"D201, D203",LED - 0805 (2012 métrique),,Wurth Electronics,,
1,16MHz,Q16MHZ_HC-49/SM,HC49/SM,Q501,Quartz,DNI,,,16MHz
2,16pF - 50V,C-EU-C16PF-C0G-50V-0603,C0603,"C590, C591","CAPACITOR, European symbol",DNI,,,16pF - 50V
1,182K-1%,R-EU-R182K-1%-0402,R0402,R414,"RESISTOR, European symbol",,,,182K-1%
6,1µF 6.3V,C-EU-C1µF-X5R-6.3V-0603,C0603,"C415, C416, C420, C501, C522, C622","CAPACITOR, European symbol",,,,1µF 6.3V
2,2.2µF-16V,"C-EU-C2,2µF-X7R-16V-0805",C0805,"C503, C504","CAPACITOR, European symbol",,,,2.2µF-16V
2,200-1%,R-EU-R200-1%-0402,R0402,"R202, R207","RESISTOR, European symbol",,,,200-1%
1,200k,R-EU-R200K-1%-0402,R0402,R301,"RESISTOR, European symbol",,,,200k
2,220k,R-EU-R220K-1%-0402,R0402,"R513, R701","RESISTOR, European symbol",,,,220k
